region,sex,black_or_not,chinese_or_not,other_race,mexican_or_not,age_under_30,income_in_range,n
south atlantic division,0,0,0,0,1,1,0,1364
south atlantic division,0,0,0,0,1,1,1,22
south atlantic division,0,0,0,1,0,0,0,8632
south atlantic division,0,0,0,1,0,0,1,572
south atlantic division,0,0,0,1,0,1,0,2485
south atlantic division,0,0,0,1,0,1,1,70
south atlantic division,0,0,0,1,1,0,0,863
south atlantic division,0,0,0,1,1,1,0,490
south atlantic division,0,0,1,0,0,0,0,1366
south atlantic division,0,0,1,0,0,0,1,114
south atlantic division,0,0,1,0,0,1,0,442
south atlantic division,0,0,1,0,0,1,1,18
south atlantic division,0,1,0,0,0,0,0,37481
south atlantic division,0,1,0,0,0,0,1,593
south atlantic division,0,1,0,0,0,1,0,9751
south atlantic division,0,1,0,0,0,1,1,121
south atlantic division,0,1,0,0,1,0,0,48
south atlantic division,0,1,0,0,1,1,0,28
south atlantic division,1,0,0,0,0,0,0,149485
south atlantic division,1,0,0,0,0,0,1,6323
south atlantic division,1,0,0,0,0,1,0,33208
south atlantic division,1,0,0,0,0,1,1,937
south atlantic division,1,0,0,0,1,0,0,2718
south atlantic division,1,0,0,0,1,0,1,66
south atlantic division,1,0,0,0,1,1,0,1460
south atlantic division,1,0,0,0,1,1,1,18
south atlantic division,1,0,0,1,0,0,0,7227
south atlantic division,1,0,0,1,0,0,1,454
south atlantic division,1,0,0,1,0,1,0,2495
south atlantic division,1,0,0,1,0,1,1,90
south atlantic division,1,0,0,1,1,0,0,1123
south atlantic division,1,0,0,1,1,1,0,507
south atlantic division,1,0,1,0,0,0,0,1053
south atlantic division,1,0,1,0,0,0,1,87
south atlantic division,1,0,1,0,0,1,0,451
south atlantic division,1,0,1,0,0,1,1,14
south atlantic division,1,1,0,0,0,0,0,30358
south atlantic division,1,1,0,0,0,0,1,596
south atlantic division,1,1,0,0,0,1,0,9787
south atlantic division,1,1,0,0,0,1,1,126
south atlantic division,1,1,0,0,1,0,0,53
south atlantic division,1,1,0,0,1,1,0,33
east south central div,0,0,0,0,0,0,0,52469
east south central div,0,0,0,0,0,0,1,1025
east south central div,0,0,0,0,0,1,0,11009
east south central div,0,0,0,0,0,1,1,147
east south central div,0,0,0,0,1,0,0,479
east south central div,0,0,0,0,1,1,0,271
east south central div,0,0,0,1,0,0,0,844
east south central div,0,0,0,1,0,0,1,31
east south central div,0,0,0,1,0,1,0,308
east south central div,0,0,0,1,1,0,0,177
east south central div,0,0,0,1,1,1,0,93
east south central div,0,0,1,0,0,0,0,126
east south central div,0,0,1,0,0,0,1,10
